CaF2 AR coating: spectral data (per surface)							
							
	R at 0 deg	R at 20 deg	R at 30 deg		T at 0 deg	T at 20 deg	T at 30 deg
724	0.21186	0.4703	1.17322		99.78466	99.52618	98.82324
725	0.22076	0.49534	1.22492		99.77577	99.50116	98.77155
726	0.23058	0.52168	1.27836		99.76598	99.47485	98.71814
727	0.24133	0.54934	1.33354		99.75525	99.44721	98.66299
728	0.25305	0.57835	1.39047		99.74355	99.41822	98.60607
729	0.26569	0.60863	1.44907		99.73093	99.38796	98.5475
730	0.27935	0.6403	1.50945		99.71729	99.35632	98.48714
731	0.29403	0.67337	1.57163		99.70263	99.32326	98.42498
732	0.30976	0.70787	1.63563		99.68691	99.28878	98.361
733	0.32658	0.74383	1.70145		99.67012	99.25285	98.2952
734	0.3445	0.78125	1.76911		99.65222	99.21544	98.22756
735	0.36355	0.82017	1.83862		99.63319	99.17655	98.15808
736	0.38375	0.86059	1.90998		99.61301	99.13615	98.08674
737	0.40512	0.90254	1.98321		99.59166	99.09422	98.01353
738	0.42769	0.94604	2.05831		99.56911	99.05074	97.93845
739	0.45149	0.99111	2.13529		99.54533	99.00569	97.86149
740	0.47652	1.03775	2.21416		99.52032	98.95907	97.78264
741	0.50282	1.086	2.29492		99.49404	98.91084	97.7019
742	0.53041	1.13586	2.37758		99.46648	98.861	97.61926
743	0.55931	1.18735	2.46214		99.43759	98.80953	97.53472
744	0.58953	1.24048	2.54861		99.40739	98.75642	97.44828
745	0.62111	1.29528	2.63698		99.37584	98.70164	97.35993
746	0.65405	1.35175	2.72726		99.34291	98.6452	97.26967
747	0.68839	1.4099	2.81944		99.30859	98.58707	97.17751
748	0.72413	1.46975	2.91354		99.27287	98.52724	97.08344
749	0.7613	1.53131	3.00954		99.23572	98.46569	96.98745
750	0.79992	1.59459	3.10744		99.19712	98.40243	96.88956
751	0.84	1.6596	3.20725		99.15706	98.33744	96.78978
752	0.88157	1.72635	3.30896		99.11552	98.27071	96.6881
753	0.92463	1.79485	3.41256		99.07247	98.20222	96.58452
754	0.9692	1.86511	3.51804		99.02792	98.132	96.47905
755	1.01531	1.93713	3.62541		98.98183	98.06	96.3717
756	1.06296	2.01092	3.73466		98.9342	97.98622	96.26248
757	1.11217	2.08649	3.84577		98.885	97.91068	96.15139
758	1.16296	2.16383	3.95874		98.83424	97.83334	96.03844
759	1.21533	2.24297	4.07355		98.78188	97.75423	95.92365
760	1.2693	2.32389	4.19021		98.72793	97.67333	95.80701
761	1.32489	2.4066	4.30869		98.67236	97.59064	95.68855
762	1.3821	2.49111	4.429		98.61517	97.50615	95.56826
763	1.44094	2.57742	4.5511		98.55634	97.41986	95.44618
764	1.50144	2.66552	4.67499		98.49588	97.33178	95.3223
765	1.56358	2.75542	4.80066		98.43375	97.24191	95.19666
766	1.62739	2.84711	4.9281		98.36996	97.15022	95.06924
767	1.69288	2.9406	5.05728		98.30449	97.05676	94.94008
768	1.76004	3.03588	5.18819		98.23734	96.9615	94.80919
769	1.82889	3.13295	5.32081		98.16851	96.86445	94.67658
770	1.89944	3.2318	5.45513		98.09798	96.76561	94.54229
771	1.97169	3.33244	5.59113		98.02575	96.66499	94.4063
772	2.04565	3.43485	5.72879		97.95182	96.56261	94.26867
773	2.12131	3.53903	5.86809		97.87617	96.45845	94.12939
774	2.19869	3.64497	6.00901		97.79881	96.35252	93.98849
775	2.27778	3.75267	6.15153		97.71973	96.24484	93.84599
776	2.3586	3.86212	6.29563		97.63893	96.13541	93.7019
777	2.44113	3.9733	6.44128		97.55642	96.02425	93.55627
778	2.52539	4.08622	6.58848		97.47218	95.91135	93.4091
779	2.61138	4.20085	6.73718		97.38621	95.79674	93.26041
780	2.69908	4.3172	6.88738		97.29852	95.6804	93.11023
781	2.78851	4.43524	7.03905		97.20911	95.56238	92.95859
782	2.87966	4.55497	7.19215		97.11798	95.44267	92.8055
783	2.97253	4.67638	7.34668		97.02514	95.32129	92.65099
784	3.06711	4.79944	7.5026		96.93057	95.19823	92.49509
785	3.1634	4.92415	7.65988		96.8343	95.07355	92.33782
786	3.2614	5.05049	7.81851		96.73631	94.94723	92.17921
